SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
SUB HIMALAYAN WEST BENGAL & SIKKIM,2014.0,Actual,0.2,26.6,37.7,47.9,308.6,543.2,384.6,563.3,371.5,31.2,5.3,2.4,2322.6
JHARKHAND,2014.0,Actual,9.9,47.5,22.9,1.9,98.2,139.7,321.3,290.9,178.2,44.9,0.0,1.2,1156.6
WEST UTTAR PRADESH,2014.0,Actual,48.3,29.4,22.6,5.3,11.0,22.0,151.6,81.0,84.7,14.6,0.0,16.3,486.9
VIDARBHA,2014.0,Actual,1.2,18.3,49.6,2.6,4.0,63.3,337.6,191.7,224.9,17.3,6.2,2.3,919.1
PUNJAB,2014.0,Actual,21.8,20.1,30.3,24.5,20.8,20.6,76.3,41.9,105.8,6.0,0.7,14.1,382.7
COASTAL KARNATAKA,2014.0,Actual,0.0,0.3,1.9,40.5,181.9,507.0,1155.4,1121.0,379.3,226.4,40.0,30.8,3684.4
NORTH INTERIOR KARNATAKA,2014.0,Actual,0.0,6.1,29.2,26.4,93.0,50.4,136.8,205.2,90.2,80.3,25.0,14.1,756.8
EAST RAJASTHAN,2014.0,Actual,28.4,10.0,6.4,7.3,8.4,23.5,197.1,261.0,136.9,3.2,0.0,1.1,683.3
ANDAMAN & NICOBAR ISLANDS,2014.0,Actual,41.9,8.6,0.0,11.1,238.0,416.6,467.6,321.6,412.9,402.6,201.2,100.4,2622.4
CHHATTISGARH,2014.0,Actual,2.3,29.0,21.4,17.3,25.0,104.9,416.7,327.7,252.7,77.9,2.6,1.1,1278.7
WEST MADHYA PRADESH,2014.0,Actual,25.6,34.4,4.6,1.4,1.4,30.6,337.4,211.0,192.6,7.0,3.0,15.8,864.9
TELANGANA,2014.0,Actual,0.2,2.9,58.3,10.3,73.3,62.3,146.0,205.2,146.8,29.6,10.8,0.7,746.4
MATATHWADA,2014.0,Actual,1.4,13.4,79.0,11.9,7.0,30.4,105.0,178.9,84.5,14.2,19.9,3.3,548.9
SOUTH INTERIOR KARNATAKA,2014.0,Actual,0.4,2.4,17.7,46.7,130.5,106.8,271.6,254.6,161.6,152.9,20.2,18.7,1184.2
MADHYA MAHARASHTRA,2014.0,Actual,3.1,6.2,24.4,7.5,29.8,44.0,277.9,240.3,120.4,38.5,32.8,13.1,838.0
COASTAL ANDHRA PRADESH,2014.0,Actual,0.4,1.2,9.1,6.0,112.9,45.7,151.8,177.8,144.5,195.6,23.7,6.4,874.9
NAGA MANI MIZO TRIPURA,2014.0,Actual,1.2,21.0,25.4,49.6,192.5,268.3,295.7,372.3,300.9,69.6,3.3,0.1,1599.9
SAURASHTRA & KUTCH,2014.0,Actual,0.3,0.0,0.1,0.5,2.1,17.3,137.7,118.8,99.2,5.2,2.7,0.0,383.9
LAKSHADWEEP,2014.0,Actual,53.2,16.1,4.4,14.9,57.4,244.1,116.1,466.1,132.2,169.2,59.0,62.3,1395.0
ASSAM & MEGHALAYA,2014.0,Actual,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1
WEST UTTAR PRADESH,2015.0,Actual,31.6,7.2,66.8,21.0,8.1,72.0,194.2,143.5,26.5,6.9,2.0,3.0,582.7
MATATHWADA,2015.0,Actual,10.1,1.6,32.0,39.6,12.3,118.3,27.4,112.2,154.3,19.5,4.8,0.0,532.2
MADHYA MAHARASHTRA,2015.0,Actual,1.4,0.8,41.2,9.6,24.4,177.0,111.7,67.2,146.6,48.3,16.2,0.1,644.5
TAMIL NADU,2015.0,Actual,8.3,2.3,21.7,108.8,112.4,62.4,43.5,81.6,98.4,132.6,379.8,152.8,1204.6
KONKAN & GOA,2015.0,Actual,2.7,0.0,36.8,3.6,11.3,764.0,526.5,377.3,240.9,91.4,27.3,0.0,2082.0
ARUNACHAL PRADESH,2015.0,Actual,30.8,47.5,97.5,287.1,238.9,637.9,329.3,595.5,374.2,65.2,33.8,29.8,2767.5
KERALA,2015.0,Actual,3.1,5.8,50.1,214.1,201.8,563.6,406.0,252.2,292.9,308.1,223.6,79.4,2600.6
LAKSHADWEEP,2015.0,Actual,2.2,0.5,3.7,87.1,133.1,296.6,257.5,146.4,160.4,165.4,231.0,159.0,1642.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,2015.0,Actual,15.7,15.0,64.8,149.0,304.6,508.2,393.3,626.6,354.9,53.6,23.8,9.0,2518.6
NAGA MANI MIZO TRIPURA,2015.0,Actual,14.4,14.2,21.6,253.5,198.3,283.9,413.6,334.2,255.9,118.7,3.9,10.0,1922.4
SAURASHTRA & KUTCH,2015.0,Actual,0.9,0.0,4.4,2.1,0.8,112.6,226.7,10.6,79.9,3.3,0.3,0.0,441.7
ANDAMAN & NICOBAR ISLANDS,2015.0,Actual,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480.0,523.3,252.1,236.3,129.9,2904.6
RAYALSEEMA,2015.0,Actual,1.9,0.0,13.4,73.4,39.7,73.0,43.1,123.6,136.3,106.7,383.8,52.2,1047.1
PUNJAB,2015.0,Actual,17.7,31.3,68.5,29.8,16.7,48.3,130.2,88.6,69.2,9.0,0.8,0.7,510.8
ORISSA,2015.0,Actual,15.1,3.3,10.5,67.6,32.6,238.6,294.8,264.0,237.0,24.7,6.2,15.6,1210.1
SOUTH INTERIOR KARNATAKA,2015.0,Actual,1.7,0.2,24.4,80.5,125.3,218.7,112.0,136.6,164.5,106.1,138.1,4.4,1112.5
NORTH INTERIOR KARNATAKA,2015.0,Actual,2.4,0.0,27.5,50.8,45.3,89.6,38.5,78.4,150.8,61.2,5.7,1.7,551.9
TELANGANA,2015.0,Actual,17.5,0.0,43.0,65.7,23.3,266.9,104.4,160.5,158.3,15.6,0.3,1.7,857.3
EAST RAJASTHAN,2015.0,Actual,12.1,0.1,55.9,15.9,3.5,96.4,297.6,142.8,20.1,5.0,0.5,0.8,650.7
WEST MADHYA PRADESH,2015.0,Actual,40.2,6.4,53.5,13.3,2.0,154.1,428.2,276.6,55.6,11.0,0.3,1.0,1042.3
ASSAM & MEGHALAYA,2015.0,Actual,13.4,15.5,37.5,250.9,332.5,558.5,300.1,590.9,279.9,62.6,14.0,15.2,2470.9
EAST MADHYA PRADESH,2015.0,Actual,37.3,11.0,73.4,25.8,6.3,139.2,262.2,272.1,71.6,38.2,1.2,0.9,939.2
COASTAL KARNATAKA,2015.0,Actual,1.4,1.0,32.3,72.2,150.3,735.3,930.9,575.2,260.3,208.5,124.2,14.3,3106.0
COASTAL ANDHRA PRADESH,2015.0,Actual,2.0,0.6,5.5,32.3,34.1,283.8,116.0,192.0,201.8,59.7,81.2,2.0,1010.9
WEST RAJASTHAN,2015.0,Actual,1.4,0.9,30.3,25.2,15.5,53.2,234.6,60.5,35.7,1.1,0.1,0.0,458.4
CHHATTISGARH,2015.0,Actual,15.8,1.2,21.2,37.0,13.0,257.6,248.6,286.6,216.9,17.7,0.6,1.5,1117.6
BIHAR,2015.0,Actual,12.8,1.8,27.2,38.7,39.5,122.1,231.5,287.0,101.7,10.4,0.0,0.0,872.7
JHARKHAND,2015.0,Actual,12.2,2.6,21.6,55.5,25.5,183.3,429.7,240.7,85.1,22.7,0.2,2.7,1081.8
JAMMU & KASHMIR,2015.0,Actual,27.9,187.2,341.4,173.3,64.6,121.4,233.2,129.2,130.2,87.1,38.1,39.3,1572.8
HIMACHAL PRADESH,2015.0,Actual,67.2,156.6,192.5,84.9,45.0,85.8,249.9,195.9,75.5,17.7,14.5,25.0,1210.5
UTTARAKHAND,2015.0,Actual,54.5,62.6,127.3,57.3,38.0,186.6,337.0,305.3,52.6,16.8,2.4,7.2,1247.6
HARYANA DELHI & CHANDIGARH,2015.0,Actual,12.4,6.6,71.8,34.8,8.4,43.7,130.3,89.2,32.1,3.7,2.3,0.2,435.3
GUJARAT REGION,2015.0,Actual,1.8,0.0,6.1,5.5,0.9,120.7,354.7,37.4,93.4,2.2,0.3,0.0,622.9
GANGETIC WEST BENGAL,2015.0,Actual,12.9,5.5,19.3,88.7,57.6,247.2,633.1,260.6,164.0,32.7,2.3,6.3,1530.3
VIDARBHA,2015.0,Actual,26.3,4.7,66.3,28.1,12.8,254.6,137.2,288.9,167.5,7.0,0.0,0.2,993.8
EAST UTTAR PRADESH,2015.0,Actual,30.0,4.1,48.2,23.2,8.6,95.3,179.0,175.8,21.9,11.8,0.5,4.9,603.3
