SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
UTTARAKHAND,2011.0,Actual,30.9,65.2,18.0,30.9,84.2,223.1,433.3,523.7,148.4,3.4,1.2,2.3,1564.7
CHHATTISGARH,2011.0,Actual,0.3,11.5,2.6,35.0,16.8,183.5,272.6,379.8,382.2,15.5,0.0,2.8,1302.7
EAST UTTAR PRADESH,2011.0,Actual,1.0,2.7,1.6,2.9,32.2,163.8,197.9,232.1,146.4,0.6,0.0,0.0,781.2
HARYANA DELHI & CHANDIGARH,2011.0,Actual,0.7,26.7,6.9,8.9,28.7,94.4,85.0,127.3,133.1,0.0,0.0,0.4,512.0
VIDARBHA,2011.0,Actual,0.0,1.2,0.1,7.7,0.6,137.9,247.1,302.8,191.0,4.7,0.0,0.0,893.2
SAURASHTRA & KUTCH,2011.0,Actual,0.0,1.4,0.0,0.0,0.0,26.0,212.7,290.9,210.1,1.2,0.1,0.0,742.5
ANDAMAN & NICOBAR ISLANDS,2011.0,Actual,265.9,84.8,272.8,111.4,326.5,383.2,583.2,441.5,757.1,212.3,150.8,238.5,3828.0
WEST UTTAR PRADESH,2011.0,Actual,2.1,10.4,3.9,2.8,29.6,175.9,215.9,232.3,101.7,0.7,0.5,1.5,777.4
COASTAL KARNATAKA,2011.0,Actual,4.8,3.8,8.7,66.1,49.3,1018.4,1080.5,861.3,545.2,178.8,81.5,10.2,3908.6
TAMIL NADU,2011.0,Actual,4.3,11.2,8.0,91.5,33.4,56.0,45.5,128.9,76.0,200.4,230.5,41.0,926.5
HIMACHAL PRADESH,2011.0,Actual,43.9,97.4,49.7,62.4,45.1,118.3,177.7,380.2,120.3,6.0,0.3,6.9,1108.3
EAST RAJASTHAN,2011.0,Actual,0.0,11.2,0.2,0.5,5.1,140.9,193.6,284.1,166.4,0.0,0.0,0.0,802.1
WEST MADHYA PRADESH,2011.0,Actual,0.0,1.7,0.1,1.8,3.6,241.5,306.7,343.3,165.0,0.2,0.0,0.0,1063.9
ASSAM & MEGHALAYA,2011.0,Actual,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4
NORTH INTERIOR KARNATAKA,2011.0,Actual,0.5,7.2,7.2,41.2,46.8,101.3,150.8,152.0,69.0,73.4,5.7,0.0,655.2
ORISSA,2011.0,Actual,3.7,16.2,4.9,58.2,75.6,210.1,199.6,358.6,398.7,20.2,0.1,0.4,1346.2
RAYALSEEMA,2011.0,Actual,0.8,12.1,0.0,34.6,33.0,44.5,128.9,163.6,71.2,107.5,106.9,35.1,738.0
ARUNACHAL PRADESH,2011.0,Actual,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2,2193.7
KERALA,2011.0,Actual,20.5,45.7,24.1,165.2,124.2,788.5,536.8,492.7,391.2,227.2,169.7,49.5,3035.1
SOUTH INTERIOR KARNATAKA,2011.0,Actual,2.1,12.4,12.4,80.2,83.5,177.1,202.4,199.5,111.2,144.8,56.7,5.0,1087.4
LAKSHADWEEP,2011.0,Actual,5.1,2.8,3.1,85.9,107.2,153.6,350.2,254.0,255.2,117.4,184.3,14.9,1533.7
EAST MADHYA PRADESH,2011.0,Actual,0.6,1.9,0.3,7.1,4.7,332.5,323.6,326.9,276.5,1.1,0.0,0.0,1275.2
JAMMU & KASHMIR,2011.0,Actual,43.4,211.6,97.8,89.0,32.4,72.5,81.6,131.2,72.0,19.4,12.9,23.8,887.6
GUJARAT REGION,2011.0,Actual,0.0,0.2,0.0,0.0,0.0,16.3,259.2,451.7,162.5,0.4,0.0,0.0,890.5
KONKAN & GOA,2011.0,Actual,0.0,0.0,0.0,3.4,1.1,857.0,1384.1,987.9,468.3,120.3,3.1,0.0,3825.2
JHARKHAND,2012.0,Actual,34.6,10.3,1.5,9.6,6.6,121.1,287.2,282.4,217.6,37.8,48.6,7.6,1065.0
RAYALSEEMA,2012.0,Actual,2.7,0.0,2.5,32.7,38.8,47.0,139.7,120.0,69.5,113.7,86.6,61.9,715.0
CHHATTISGARH,2012.0,Actual,36.6,4.8,1.1,14.9,9.4,147.3,430.6,442.2,245.3,19.8,20.4,5.0,1377.4
ASSAM & MEGHALAYA,2012.0,Actual,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4
COASTAL ANDHRA PRADESH,2012.0,Actual,37.6,0.0,2.7,24.0,39.3,95.4,221.9,221.2,246.5,140.0,289.7,0.0,1318.4
NAGA MANI MIZO TRIPURA,2012.0,Actual,24.5,10.2,20.3,243.5,163.5,396.2,280.1,342.7,248.7,160.9,32.0,0.4,1922.9
EAST MADHYA PRADESH,2012.0,Actual,39.4,0.7,0.6,1.1,1.2,67.8,398.9,351.7,172.6,12.7,3.8,2.7,1053.1
MADHYA MAHARASHTRA,2012.0,Actual,0.0,0.0,0.0,3.0,1.4,67.9,203.0,187.8,129.5,95.2,2.2,0.0,689.8
BIHAR,2012.0,Actual,18.1,2.7,7.3,20.4,18.8,96.2,354.0,240.4,233.8,34.3,6.4,0.0,1032.4
ARUNACHAL PRADESH,2012.0,Actual,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2,3440.3
SOUTH INTERIOR KARNATAKA,2012.0,Actual,4.6,5.5,8.1,99.0,45.6,81.8,144.7,236.5,100.6,62.8,82.6,6.2,877.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,2012.0,Actual,15.3,13.9,45.5,159.8,202.4,604.2,684.5,332.7,434.7,119.4,12.5,7.4,2632.2
KONKAN & GOA,2012.0,Actual,0.0,0.0,0.0,0.6,1.1,633.0,928.5,762.5,515.3,175.1,2.3,0.0,3018.4
JAMMU & KASHMIR,2012.0,Actual,150.9,95.8,45.2,86.6,48.9,32.6,118.8,264.9,106.7,15.7,10.8,57.8,1034.7
HARYANA DELHI & CHANDIGARH,2012.0,Actual,8.2,0.2,0.1,11.8,3.8,5.3,68.1,196.6,90.7,2.4,0.6,3.5,391.4
NORTH INTERIOR KARNATAKA,2012.0,Actual,28.5,6.2,0.4,35.4,19.5,60.0,114.5,105.5,79.2,85.2,46.5,2.9,583.8
ORISSA,2012.0,Actual,50.8,3.6,0.9,34.8,21.3,169.6,324.3,417.0,242.4,66.0,72.1,3.1,1405.9
UTTARAKHAND,2012.0,Actual,38.8,11.9,28.1,39.2,9.1,46.0,387.1,419.5,220.6,4.7,3.4,15.5,1223.9
VIDARBHA,2012.0,Actual,3.1,0.1,0.0,0.6,0.2,125.5,370.5,316.2,249.4,34.9,7.3,0.0,1107.7
WEST MADHYA PRADESH,2012.0,Actual,6.2,0.0,0.0,0.9,3.1,48.2,439.2,341.2,194.3,2.1,0.0,0.0,1035.2
EAST RAJASTHAN,2012.0,Actual,1.9,0.0,0.0,3.6,9.5,11.2,170.5,365.0,131.3,0.5,0.0,0.1,693.6
HIMACHAL PRADESH,2012.0,Actual,92.3,51.3,28.4,55.9,9.4,31.1,241.5,280.6,133.1,3.1,3.2,21.8,951.6
MATATHWADA,2012.0,Actual,0.0,0.0,0.0,0.6,2.3,72.2,161.1,101.4,120.0,68.8,0.3,0.0,526.7
WEST RAJASTHAN,2012.0,Actual,0.5,0.0,0.0,9.5,10.4,5.3,40.4,166.7,92.0,1.9,0.0,0.6,327.3
ANDAMAN & NICOBAR ISLANDS,2012.0,Actual,119.9,45.6,30.9,55.8,533.9,458.2,317.3,369.6,868.9,209.7,300.5,187.3,3497.6
TELANGANA,2012.0,Actual,6.7,0.0,0.2,14.0,8.4,124.4,300.3,229.9,202.4,83.6,38.7,0.0,1008.6
COASTAL KARNATAKA,2012.0,Actual,0.0,11.4,5.1,77.0,22.9,650.9,754.6,1027.6,382.0,115.1,68.0,3.6,0.0
EAST UTTAR PRADESH,2012.0,Actual,20.3,1.2,3.4,2.8,0.2,18.5,234.2,156.0,164.4,0.7,0.3,0.7,602.7
GUJARAT REGION,2012.0,Actual,0.1,0.0,0.0,0.0,0.0,34.4,178.2,230.3,263.8,7.1,0.0,0.0,714.0
SAURASHTRA & KUTCH,2012.0,Actual,0.0,0.0,0.0,0.2,0.1,22.4,34.7,34.5,228.5,2.4,0.0,1.0,323.8
TAMIL NADU,2012.0,Actual,3.0,0.1,2.5,35.5,41.9,30.1,46.5,98.0,84.9,235.2,44.5,14.0,636.1
WEST UTTAR PRADESH,2012.0,Actual,14.5,0.1,1.4,4.7,0.3,4.0,145.1,149.1,67.8,0.5,0.1,2.0,389.6
LAKSHADWEEP,2012.0,Actual,19.2,0.1,1.6,76.8,21.2,327.0,231.5,381.2,179.8,145.9,12.4,8.8,1405.5
GANGETIC WEST BENGAL,2012.0,Actual,40.7,15.3,4.4,57.7,44.2,146.6,315.0,261.4,246.9,64.2,47.0,24.6,1268.0
PUNJAB,2012.0,Actual,62.6,3.2,1.9,31.1,1.6,11.9,120.2,135.1,112.3,2.2,0.4,11.0,493.6
KERALA,2012.0,Actual,7.4,11.0,21.0,171.1,95.3,430.3,362.6,501.6,241.1,187.5,112.9,9.4,2151.1
EAST UTTAR PRADESH,2013.0,Actual,6.1,59.6,2.7,8.7,1.1,309.7,230.0,246.1,78.2,97.4,0.5,1.1,1041.4
EAST RAJASTHAN,2013.0,Actual,1.4,21.7,0.4,3.2,1.0,90.6,319.0,278.5,88.0,30.6,1.3,0.3,836.1
COASTAL ANDHRA PRADESH,2013.0,Actual,2.0,29.6,0.2,48.0,28.2,127.5,162.4,123.1,132.0,411.5,53.1,2.8,1120.5
SAURASHTRA & KUTCH,2013.0,Actual,1.7,0.2,0.1,8.5,0.1,127.7,171.2,83.3,260.2,28.6,0.0,0.0,681.8
NORTH INTERIOR KARNATAKA,2013.0,Actual,1.2,6.1,3.0,25.4,47.4,99.4,160.7,73.9,201.0,101.0,4.2,0.1,723.2
ORISSA,2013.0,Actual,3.3,7.8,2.1,53.6,57.7,272.6,380.0,254.9,208.1,391.0,1.2,0.0,1632.4
WEST MADHYA PRADESH,2013.0,Actual,1.7,31.1,8.5,2.8,0.4,263.7,485.1,432.6,98.9,68.7,0.3,2.4,1396.3
ANDAMAN & NICOBAR ISLANDS,2013.0,Actual,67.1,37.6,43.0,46.3,509.3,777.0,564.8,336.7,473.6,455.8,354.2,92.3,3757.8
COASTAL KARNATAKA,2013.0,Actual,2.4,19.6,19.0,28.5,100.4,1153.0,1515.3,680.2,379.1,265.1,56.9,10.0,4229.4
VIDARBHA,2013.0,Actual,6.6,13.0,3.8,2.8,0.5,366.7,535.5,326.1,131.7,133.5,0.0,0.0,1520.0
MATATHWADA,2013.0,Actual,1.5,9.4,2.6,7.9,6.4,160.9,293.4,136.9,154.1,94.3,7.4,13.1,888.0
SUB HIMALAYAN WEST BENGAL & SIKKIM,2013.0,Actual,3.0,23.6,32.1,114.7,296.5,404.9,588.4,416.3,308.0,199.8,16.1,2.7,2406.1
KONKAN & GOA,2013.0,Actual,1.8,5.4,0.1,0.1,18.5,1028.3,1478.5,497.6,340.7,149.3,2.1,1.5,3524.0
GUJARAT REGION,2013.0,Actual,0.0,0.9,0.1,4.6,0.0,155.7,405.4,211.1,287.3,53.2,0.1,0.0,1118.6
TAMIL NADU,2013.0,Actual,3.9,30.9,30.0,20.3,42.0,54.6,42.7,110.7,113.5,127.9,112.3,53.2,741.9
JAMMU & KASHMIR,2013.0,Actual,52.2,136.4,41.9,47.4,47.4,80.5,125.1,219.1,41.2,34.4,13.4,20.3,859.3
GANGETIC WEST BENGAL,2013.0,Actual,2.5,10.0,4.8,45.6,195.9,233.4,263.2,401.4,254.0,353.2,0.0,0.0,1764.1
UTTARAKHAND,2013.0,Actual,73.0,188.3,22.0,24.7,18.2,488.9,413.4,359.4,111.3,29.1,3.2,3.8,1735.4
HIMACHAL PRADESH,2013.0,Actual,79.9,182.6,76.6,28.9,32.6,233.6,208.8,240.0,65.8,21.8,16.6,24.8,1211.9
SOUTH INTERIOR KARNATAKA,2013.0,Actual,0.5,10.1,11.7,34.6,95.6,176.2,307.4,151.7,191.8,103.7,24.9,2.4,1110.7
HARYANA DELHI & CHANDIGARH,2013.0,Actual,21.1,52.2,5.3,3.3,1.4,62.1,96.5,161.9,42.8,10.9,1.7,2.1,461.2
ARUNACHAL PRADESH,2013.0,Actual,18.5,40.5,115.1,175.1,335.8,290.0,329.6,230.2,316.1,164.1,13.3,14.6,2042.9
BIHAR,2013.0,Actual,5.1,22.6,0.6,32.3,89.5,183.3,182.0,213.6,143.3,197.1,0.4,0.0,1069.9
NAGA MANI MIZO TRIPURA,2013.0,Actual,0.2,5.7,19.7,60.3,348.9,206.6,255.9,291.3,241.4,125.6,0.3,1.2,1557.2
RAYALSEEMA,2013.0,Actual,1.3,30.6,11.5,26.8,38.9,73.8,95.7,110.3,163.2,169.3,38.6,2.6,762.6
PUNJAB,2013.0,Actual,9.3,50.1,11.6,3.4,3.6,120.3,117.9,217.1,24.4,16.2,6.1,6.6,586.6
EAST MADHYA PRADESH,2013.0,Actual,2.0,43.4,14.1,9.5,0.3,311.9,456.2,480.8,78.0,124.2,0.5,1.0,1521.9
ASSAM & MEGHALAYA,2013.0,Actual,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4
TELANGANA,2013.0,Actual,2.4,29.0,0.2,24.4,8.5,213.4,453.8,230.6,161.4,205.9,16.4,2.7,1348.7
WEST UTTAR PRADESH,2013.0,Actual,20.4,69.5,3.5,1.6,2.1,190.6,233.9,287.1,52.2,61.2,1.7,8.9,932.8
LAKSHADWEEP,2013.0,Actual,26.2,34.4,37.5,5.3,88.3,426.2,296.4,154.4,180.0,72.8,78.1,26.7,1426.3
WEST RAJASTHAN,2013.0,Actual,8.6,21.8,4.2,3.1,1.7,37.6,104.5,138.2,58.7,10.1,1.0,0.0,389.4
